ElementID,exx,eyy,ezz,exy,eyz,exz,VonMises,Volumetric,MaxShear,Jacobian
56,0,-0.241938,-0.241938,-0.0168998,1.5625e-10,-0.0681107,0.127635,-0.483876,0.139851,20
57,0,-0.149988,-0.149988,-0.00603686,8.75e-11,-0.0699158,0.0910073,-0.299976,0.102707,20
58,0,-0.0789685,-0.0789685,0.0049747,4.5625e-11,-0.0699994,0.0683293,-0.157937,0.0805212,20
59,0,-0.0306276,-0.0306276,0.0158638,4.5625e-11,-0.0683594,0.0590895,-0.0612551,0.0718274,20
60,0,-0.00615583,-0.00615583,0.0263622,-6.25004e-12,-0.0650361,0.0573719,-0.0123117,0.0702434,20
61,0,-0.921783,-0.921783,-0.0288246,6.25e-11,-0.0337492,0.436041,-1.84357,0.463023,20
62,0,-0.767274,-0.767274,-0.0231901,7.3125e-11,-0.0378429,0.363507,-1.53455,0.386196,20
63,0,-0.618496,-0.618496,-0.0169847,4.37506e-12,-0.0410047,0.293805,-1.23699,0.312417,20
64,0,-0.479112,-0.479112,-0.010361,1.38778e-17,-0.0431569,0.228744,-0.958224,0.243633,20
65,0,-0.352554,-0.352554,-0.00348226,-2.5e-11,-0.0442463,0.170101,-0.705108,0.181779,20
66,0,-0.241938,-0.241938,0.00348226,-3.75e-11,-0.0442463,0.11967,-0.483876,0.128854,20
67,0,-0.149988,-0.149988,0.010361,-6.24998e-12,-0.0431569,0.079451,-0.299976,0.0871435,20
68,0,-0.0789685,-0.0789685,0.0169847,1.0625e-11,-0.0410047,0.0519522,-0.157937,0.0594043,20
69,0,-0.0306276,-0.0306276,0.0231901,1.0625e-11,-0.0378429,0.039009,-0.0612551,0.0469508,20
70,0,-0.00615583,-0.00615583,0.0288246,7.37257e-18,-0.0337492,0.0363547,-0.0123117,0.0444898,20
71,0,-0.921783,-0.921783,0.00246233,3.12499e-11,-0.0312869,0.435287,-1.84357,0.461959,20
72,0,-0.767274,-0.767274,0.00732636,5.18749e-11,-0.0305165,0.362603,-1.53455,0.384919,20
73,0,-0.618496,-0.618496,0.01201,2.99999e-11,-0.0289947,0.292686,-1.23699,0.310837,20
74,0,-0.479112,-0.479112,0.0163979,2.81249e-11,-0.026759,0.227305,-0.958224,0.241603,20
75,0,-0.352554,-0.352554,0.020382,1.87499e-11,-0.0238643,0.168159,-0.705108,0.179049,20
76,0,-0.241938,-0.241938,0.0238643,4.375e-11,-0.020382,0.116894,-0.483876,0.124974,20
77,0,-0.149988,-0.149988,0.026759,4.06249e-11,-0.0163979,0.0752053,-0.299976,0.0812961,20
78,0,-0.0789685,-0.0789685,0.0289947,1.74999e-11,-0.01201,0.045193,-0.157937,0.0504375,20
79,0,-0.0306276,-0.0306276,0.0305165,-1.0625e-11,-0.00732636,0.0294122,-0.0612551,0.0349205,20
80,0,-0.00615583,-0.00615583,0.0312869,-3.125e-11,-0.00246233,0.0257884,-0.0123117,0.0315342,20
81,0,-0.921783,-0.921783,0.0337492,-6.25e-11,-0.0288246,0.436041,-1.84357,0.463023,20
82,0,-0.767274,-0.767274,0.0378429,-7.31251e-11,-0.0231901,0.363507,-1.53455,0.386196,20
83,0,-0.618496,-0.618496,0.0410047,-4.37508e-12,-0.0169847,0.293805,-1.23699,0.312417,20
84,0,-0.479112,-0.479112,0.0431569,-1.94289e-16,-0.010361,0.228744,-0.958224,0.243633,20
85,0,-0.352554,-0.352554,0.0442463,2.49999e-11,-0.00348226,0.170101,-0.705108,0.181779,20
